model,origin_date,forecast_date,horizon,actual,predicted,error
random_forest,2024-05-11,2024-05-12,1,11.7,11.435190417236674,0.26480939202846265
random_forest,2024-05-11,2024-05-14,3,9.5,10.163204473996087,0.6632044739960872
random_forest,2024-05-11,2024-05-18,7,18.7,16.4486955894264,2.251305173513053
random_forest,2024-05-11,2024-05-25,14,6.6,8.628289529968933,2.028289625336365
random_forest,2024-05-11,2024-06-10,30,9.7,12.056584439837488,2.3565846305723515
random_forest,2024-05-25,2024-05-26,1,16.7,12.961052245259918,3.7389485176795354
random_forest,2024-05-25,2024-05-28,3,11.7,12.009526977561075,0.3095271682959382
random_forest,2024-05-25,2024-06-01,7,17.4,16.515133456055835,0.8848661624744381
random_forest,2024-05-25,2024-06-08,14,16.3,15.429493742900531,0.8705054941600157
random_forest,2024-05-25,2024-06-24,30,21.0,19.288669785805197,1.7113302141948026
random_forest,2024-06-08,2024-06-09,1,11.5,13.088067773211565,1.5880677732115647
random_forest,2024-06-08,2024-06-11,3,12.1,12.5709773290355,0.4709769475657737
random_forest,2024-06-08,2024-06-15,7,11.7,12.35361512026802,0.6536153110028824
random_forest,2024-06-08,2024-06-22,14,18.5,19.520787489280377,1.0207874892803765
random_forest,2024-06-08,2024-07-08,30,21.9,21.662251732929306,0.23774788560096738
random_forest,2024-06-22,2024-06-23,1,16.3,17.29151128911358,0.9915120520530323
random_forest,2024-06-22,2024-06-25,3,18.9,18.33997109594204,0.5600285225882331
random_forest,2024-06-22,2024-06-29,7,17.7,16.94674358691033,0.7532571760291233
random_forest,2024-06-22,2024-07-06,14,19.8,19.56102559156221,0.2389736454983371
random_forest,2024-06-22,2024-07-22,30,16.2,16.57317799946185,0.3731772365223982
random_forest,2024-07-06,2024-07-07,1,20.4,20.770070646858958,0.37007102832868455
random_forest,2024-07-06,2024-07-09,3,20.5,20.24265780756355,0.2573421924364503
random_forest,2024-07-06,2024-07-13,7,22.6,21.50440477993583,1.0955956015338977
random_forest,2024-07-06,2024-07-20,14,16.6,16.367235125011042,0.23276525645868418
random_forest,2024-07-06,2024-08-05,30,16.6,15.877720701015384,0.7222796804543421
random_forest,2024-07-20,2024-07-21,1,15.4,16.038629713954272,0.6386300954239985
random_forest,2024-07-20,2024-07-23,3,15.2,15.953110985403082,0.7531111761379456
random_forest,2024-07-20,2024-07-27,7,20.8,19.81749738567381,0.9825018513867363
random_forest,2024-07-20,2024-08-03,14,22.4,20.18488619977454,2.2151134187557346
random_forest,2024-07-20,2024-08-19,30,12.4,13.52450290611716,1.1245032875868866
random_forest,2024-08-03,2024-08-04,1,17.9,16.84436053582646,1.055639082703813
random_forest,2024-08-03,2024-08-06,3,15.9,15.670280909489152,0.22971870904112102
random_forest,2024-08-03,2024-08-10,7,15.4,15.322591763952348,0.07740785457792576
random_forest,2024-08-03,2024-08-17,14,19.3,18.712566715076935,0.5874325219836116
random_forest,2024-08-03,2024-09-02,30,12.4,12.477133762551114,0.07713414402084062
random_forest,2024-08-17,2024-08-18,1,14.8,16.067120405184724,1.2671202144498608
random_forest,2024-08-17,2024-08-20,3,13.0,13.552863766775777,0.5528637667757774
random_forest,2024-08-17,2024-08-24,7,18.0,16.92237014315122,1.0776298568487803
